"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Tackles","","Tackles for Loss","","","Sacks","","","","Pass Breakups","Forced Fumbles","QB Hurries","Blocked Kicks"
"","","","","","","Unassisted","Assisted","Unassisted","Assisted","Yards","Unassisted","Assisted","Yards","No.","No.","No.","No."
"721","Air Force","10/08/11","24","ADEJI-PAUL","P.J.","0","2","","","","","","","","","",""
"721","Air Force","11/19/11","24","ADEJI-PAUL","P.J.","0","1","","","","","","","","","",""
"721","Air Force","09/03/11","41","AMACK","BRADY","4","2","","","","","","","","","",""
"721","Air Force","09/10/11","41","AMACK","BRADY","4","4","","","","","","","","2","",""
"721","Air Force","09/24/11","41","AMACK","BRADY","5","1","1","0","2","","","","","","",""
"721","Air Force","10/01/11","41","AMACK","BRADY","11","12","2","0","6","1","0","4","","","",""
"721","Air Force","10/08/11","41","AMACK","BRADY","0","4","","","","","","","","","",""
"721","Air Force","10/13/11","41","AMACK","BRADY","4","7","","","","","","","","","",""
"721","Air Force","10/22/11","41","AMACK","BRADY","5","8","","","","","","","1","","",""
"721","Air Force","10/29/11","41","AMACK","BRADY","6","3","","","","","","","1","","",""
"721","Air Force","11/05/11","41","AMACK","BRADY","4","10","","","","","","","","1","",""
"721","Air Force","11/12/11","41","AMACK","BRADY","6","7","","","","","","","","1","",""
"721","Air Force","11/19/11","41","AMACK","BRADY","5","5","2","0","10","","","","","","",""
"721","Air Force","11/26/11","41","AMACK","BRADY","4","4","","","","","","","","","",""
"721","Air Force","09/10/11","2","ATRICE","STEPHAN","1","1","","","","","","","","","",""
"721","Air Force","09/24/11","2","ATRICE","STEPHAN","2","1","","","","","","","","","",""
"721","Air Force","10/01/11","2","ATRICE","STEPHAN","2","2","","","","","","","","","",""
"721","Air Force","10/22/11","2","ATRICE","STEPHAN","2","1","","","","","","","","","",""
"721","Air Force","10/29/11","2","ATRICE","STEPHAN","1","1","","","","","","","","","",""
"721","Air Force","11/05/11","2","ATRICE","STEPHAN","0","1","","","","","","","","","",""
"721","Air Force","11/19/11","2","ATRICE","STEPHAN","1","2","","","","","","","","","",""
"721","Air Force","11/26/11","2","ATRICE","STEPHAN","1","1","","","","","","","","","",""
"721","Air Force","10/01/11","48","AVERY","","1","0","","","","","","","","","",""
"721","Air Force","10/08/11","48","AVERY","","0","1","","","","","","","","","",""
"721","Air Force","10/29/11","48","AVERY","","1","0","","","","","","","","","",""
"721","Air Force","10/01/11","19","BASKA","DAVID","1","0","","","","","","","","","",""
"721","Air Force","09/03/11","23","BATTS","STEFFON","1","0","","","","","","","","","",""
"721","Air Force","09/10/11","23","BATTS","STEFFON","1","2","1","0","5","","","","","","",""
"721","Air Force","09/24/11","23","BATTS","STEFFON","0","2","","","","","","","","","",""
"721","Air Force","10/08/11","23","BATTS","STEFFON","1","1","","","","","","","","","",""
"721","Air Force","10/22/11","23","BATTS","STEFFON","2","0","","","","","","","","","",""
"721","Air Force","10/29/11","23","BATTS","STEFFON","1","1","","","","","","","","","",""
"721","Air Force","11/19/11","23","BATTS","STEFFON","1","0","","","","","","","","","",""
"721","Air Force","11/26/11","23","BATTS","STEFFON","1","0","","","","","","","","","",""
"721","Air Force","10/08/11","63","BENSON","JEFFREY","1","0","","","","","","","","","",""
"721","Air Force","11/26/11","5B","CANNADA","","1","0","","","","","","","","","",""
"721","Air Force","09/24/11","45","CHAMBERS","JAMES","2","1","","","","","","","","","",""
"721","Air Force","10/08/11","45","CHAMBERS","JAMES","0","1","","","","","","","","","",""
"721","Air Force","10/29/11","45","CHAMBERS","JAMES","2","3","","","","","","","","","",""
"721","Air Force","11/05/11","45","CHAMBERS","JAMES","0","1","","","","","","","","","",""
"721","Air Force","11/19/11","45","CHAMBERS","JAMES","1","1","","","","","","","1","","",""
"721","Air Force","11/26/11","45","CHAMBERS","JAMES","0","1","","","","","","","","","",""
"721","Air Force","10/08/11","90","CHAMPAIGN","","0","2","","","","","","","","","",""
"721","Air Force","10/22/11","90","CHAMPAIGN","","2","0","1","0","3","","","","","","",""
"721","Air Force","11/05/11","90","CHAMPAIGN","","0","1","","","","","","","","","",""
"721","Air Force","11/12/11","90","CHAMPAIGN","","1","3","","","","","","","","","",""
"721","Air Force","11/19/11","90","CHAMPAIGN","","0","1","","","","","","","","","",""
"721","Air Force","11/26/11","90","CHAMPAIGN","","0","1","","","","","","","","","",""
"721","Air Force","09/03/11","17","CLARK","ASHER","1","0","","","","","","","","","",""
"721","Air Force","09/03/11","46","COOKS","JAMIL","2","0","","","","","","","","","",""
"721","Air Force","09/10/11","46","COOKS","JAMIL","3","0","1","0","11","1","0","11","","1","",""
"721","Air Force","09/24/11","46","COOKS","JAMIL","3","1","1","1","5","0","1","4","","","",""
"721","Air Force","10/01/11","46","COOKS","JAMIL","4","5","0","2","1","","","","","","",""
"721","Air Force","10/08/11","46","COOKS","JAMIL","2","3","","","","","","","","","",""
"721","Air Force","10/13/11","46","COOKS","JAMIL","1","2","","","","","","","","","","1"
"721","Air Force","10/22/11","46","COOKS","JAMIL","2","1","","","","","","","","","",""
"721","Air Force","10/29/11","46","COOKS","JAMIL","2","1","","","","","","","","","",""
"721","Air Force","11/05/11","46","COOKS","JAMIL","1","1","","","","","","","","","",""
"721","Air Force","11/12/11","46","COOKS","JAMIL","2","2","1","0","2","","","","","","",""
"721","Air Force","11/19/11","46","COOKS","JAMIL","3","5","0","1","1","","","","","","",""
"721","Air Force","11/26/11","46","COOKS","JAMIL","1","0","1","0","6","","","","","","",""
"721","Air Force","09/03/11","6","DAVIS","JON","3","3","","","","","","","","","",""
"721","Air Force","09/10/11","6","DAVIS","JON","5","6","","","","","","","","","",""
"721","Air Force","09/24/11","6","DAVIS","JON","2","3","","","","","","","1","","",""
"721","Air Force","10/01/11","6","DAVIS","JON","2","3","","","","","","","","","",""
"721","Air Force","10/08/11","6","DAVIS","JON","7","5","","","","","","","","","",""
"721","Air Force","10/13/11","6","DAVIS","JON","3","7","","","","","","","1","","",""
"721","Air Force","10/22/11","6","DAVIS","JON","6","0","","","","","","","1","","",""
"721","Air Force","10/29/11","6","DAVIS","JON","0","1","","","","","","","","","",""
"721","Air Force","11/05/11","6","DAVIS","JON","6","6","","","","","","","","1","",""
"721","Air Force","11/12/11","6","DAVIS","JON","3","2","","","","","","","","","",""
"721","Air Force","11/19/11","6","DAVIS","JON","2","4","0","1","0","","","","","","",""
"721","Air Force","11/26/11","6","DAVIS","JON","4","6","","","","","","","","","",""
"721","Air Force","09/10/11","89","DEJULIO","NICK","0","1","","","","","","","","","",""
"721","Air Force","09/24/11","89","DEJULIO","NICK","0","3","0","1","3","0","1","3","","","",""
"721","Air Force","10/01/11","89","DEJULIO","NICK","2","4","","","","","","","","","",""
"721","Air Force","10/08/11","89","DEJULIO","NICK","0","1","","","","","","","","","1",""
"721","Air Force","10/13/11","89","DEJULIO","NICK","0","2","","","","","","","","","",""
"721","Air Force","11/05/11","89","DEJULIO","NICK","1","1","","","","","","","","","",""
"721","Air Force","11/12/11","89","DEJULIO","NICK","0","1","","","","","","","","","",""
"721","Air Force","11/19/11","89","DEJULIO","NICK","0","1","","","","","","","","","",""
"721","Air Force","10/13/11","87","DURDEN","DEVIN","1","0","","","","","","","","","",""
"721","Air Force","11/12/11","87","DURDEN","DEVIN","1","0","","","","","","","","","",""
"721","Air Force","11/26/11","87","DURDEN","DEVIN","0","2","","","","","","","","","",""
"721","Air Force","09/03/11","97","FITZGERALD","NICK","0","1","","","","","","","","","",""
"721","Air Force","09/24/11","97","FITZGERALD","NICK","0","3","","","","","","","","","",""
"721","Air Force","10/01/11","97","FITZGERALD","NICK","1","6","0","1","2","","","","","","",""
"721","Air Force","10/08/11","97","FITZGERALD","NICK","","","","","","","","","","","1",""
"721","Air Force","10/13/11","97","FITZGERALD","NICK","0","1","","","","","","","","","",""
"721","Air Force","11/05/11","97","FITZGERALD","NICK","0","6","","","","","","","","","",""
"721","Air Force","11/12/11","97","FITZGERALD","NICK","0","1","","","","","","","","","",""
"721","Air Force","11/19/11","97","FITZGERALD","NICK","0","4","","","","","","","","","",""
"721","Air Force","09/24/11","53","FLEMING","ROSS","1","2","","","","","","","","","",""
"721","Air Force","10/29/11","53","FLEMING","ROSS","2","1","","","","","","","","","",""
"721","Air Force","11/12/11","53","FLEMING","ROSS","2","3","","","","","","","","","",""
"721","Air Force","11/19/11","53","FLEMING","ROSS","0","2","","","","","","","","","",""
"721","Air Force","11/26/11","53","FLEMING","ROSS","0","2","","","","","","","","","",""
"721","Air Force","09/03/11","81","FREEMAN","JOSHUA","1","0","","","","","","","","","",""
"721","Air Force","09/03/11","86","GARDNER","RYAN","1","1","","","","","","","","","",""
"721","Air Force","09/10/11","86","GARDNER","RYAN","0","1","0","1","2","","","","","","",""
"721","Air Force","11/05/11","86","GARDNER","RYAN","2","3","","","","","","","","","",""
"721","Air Force","11/12/11","86","GARDNER","RYAN","0","4","0","1","0","","","","1","","",""
"721","Air Force","11/19/11","86","GARDNER","RYAN","2","1","","","","","","","","","",""
"721","Air Force","11/26/11","86","GARDNER","RYAN","2","1","1","0","3","","","","","","",""
"721","Air Force","10/29/11","28","GETZ","CODY","1","0","","","","","","","","","",""
"721","Air Force","09/10/11","14","HALL","JOSH","0","1","","","","","","","","","",""
"721","Air Force","10/01/11","14","HALL","JOSH","4","3","","","","","","","","","",""
"721","Air Force","10/08/11","14","HALL","JOSH","4","3","1","0","1","","","","","","",""
"721","Air Force","10/13/11","14","HALL","JOSH","5","3","","","","","","","","","",""
"721","Air Force","10/22/11","14","HALL","JOSH","2","1","","","","","","","","","",""
"721","Air Force","10/29/11","14","HALL","JOSH","2","0","","","","","","","1","","",""
"721","Air Force","11/05/11","14","HALL","JOSH","1","0","","","","","","","","1","",""
"721","Air Force","11/12/11","14","HALL","JOSH","0","2","","","","","","","1","","",""
"721","Air Force","11/19/11","14","HALL","JOSH","1","4","","","","","","","1","","",""
"721","Air Force","11/26/11","14","HALL","JOSH","","","","","","","","","1","","",""
"721","Air Force","10/29/11","39","HART","","1","0","","","","","","","","","",""
"721","Air Force","09/03/11","44","HENNESSEY","PATRICK","4","4","0","1","1","0","1","1","1","","",""
"721","Air Force","09/10/11","44","HENNESSEY","PATRICK","2","3","","","","","","","","","",""
"721","Air Force","10/08/11","44","HENNESSEY","PATRICK","2","1","","","","","","","","","",""
"721","Air Force","10/13/11","44","HENNESSEY","PATRICK","4","2","1","0","2","","","","","","",""
"721","Air Force","10/29/11","44","HENNESSEY","PATRICK","1","0","1","0","8","1","0","8","","","",""
"721","Air Force","11/05/11","44","HENNESSEY","PATRICK","2","8","","","","","","","","","",""
"721","Air Force","11/12/11","44","HENNESSEY","PATRICK","1","3","","","","","","","","","",""
"721","Air Force","11/19/11","44","HENNESSEY","PATRICK","1","1","1","0","2","","","","","","",""
"721","Air Force","11/26/11","44","HENNESSEY","PATRICK","7","3","2","0","4","1","0","2","","","",""
"721","Air Force","09/24/11","93","HOFFMAN","","1","0","","","","","","","","","",""
"721","Air Force","09/10/11","10","HUNTER","MIKEL","1","0","","","","","","","","","",""
"721","Air Force","11/05/11","10","HUNTER","MIKEL","0","1","","","","","","","","","",""
"721","Air Force","09/03/11","26","JABLONSKY","KEVIN","1","0","1","0","2","1","0","2","","","",""
"721","Air Force","10/08/11","26","JABLONSKY","KEVIN","0","2","","","","","","","","","",""
"721","Air Force","10/13/11","26","JABLONSKY","KEVIN","1","0","","","","","","","","","",""
"721","Air Force","10/22/11","26","JABLONSKY","KEVIN","0","1","","","","","","","","","",""
"721","Air Force","10/29/11","26","JABLONSKY","KEVIN","1","1","","","","","","","","","",""
"721","Air Force","11/05/11","26","JABLONSKY","KEVIN","0","1","","","","","","","","","",""
"721","Air Force","11/19/11","26","JABLONSKY","KEVIN","2","1","","","","","","","","","",""
"721","Air Force","10/01/11","21","JONES","DARIUS","0","1","","","","","","","","","",""
"721","Air Force","10/08/11","21","JONES","DARIUS","0","1","","","","","","","","","",""
"721","Air Force","10/13/11","85","KAUTH","ZACK","1","0","","","","","","","","","",""
"721","Air Force","09/03/11","95","KEHS","HARRY","1","0","","","","","","","","","",""
"721","Air Force","09/10/11","95","KEHS","HARRY","2","1","0","1","0","","","","","","",""
"721","Air Force","10/01/11","95","KEHS","HARRY","8","7","1","1","4","","","","","","",""
"721","Air Force","10/08/11","95","KEHS","HARRY","0","2","","","","","","","","","",""
"721","Air Force","10/13/11","95","KEHS","HARRY","0","1","","","","","","","","","",""
"721","Air Force","10/22/11","95","KEHS","HARRY","1","1","","","","","","","","","",""
"721","Air Force","10/29/11","95","KEHS","HARRY","1","0","","","","","","","","","",""
"721","Air Force","11/19/11","95","KEHS","HARRY","0","3","","","","","","","","","",""
"721","Air Force","11/26/11","95","KEHS","HARRY","0","2","","","","","","","","","",""
"721","Air Force","09/03/11","88","KOPACKA","BEN","0","1","","","","","","","","","","1"
"721","Air Force","09/10/11","88","KOPACKA","BEN","0","1","","","","","","","","","",""
"721","Air Force","09/24/11","88","KOPACKA","BEN","0","2","0","1","1","","","","","","",""
"721","Air Force","10/01/11","88","KOPACKA","BEN","0","1","","","","","","","","","",""
"721","Air Force","10/29/11","88","KOPACKA","BEN","1","1","","","","","","","","","",""
"721","Air Force","09/03/11","52","KUSAN","JOSH","1","2","","","","","","","","","",""
"721","Air Force","09/10/11","52","KUSAN","JOSH","1","1","","","","","","","","","",""
"721","Air Force","09/24/11","52","KUSAN","JOSH","2","3","","","","","","","","","",""
"721","Air Force","10/08/11","52","KUSAN","JOSH","1","3","","","","","","","","","",""
