"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","11/05/11","2","ATRICE","STEPHAN","","","","","","","","","","","","0","0","","","","","","","1","9","0","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/11","19","BASKA","DAVID","","","","","","","","","","","","0","0","","","","","","","","","","2","98","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","19","BASKA","DAVID","1","34","0","34","0","","","","","","","1","34","","","","","","","","","","5","215","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/01/11","19","BASKA","DAVID","","","","","","","","","","","","0","0","","","","","","","","","","2","113","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","19","BASKA","DAVID","1","19","0","19","0","","","","","","","1","19","","","","","","","","","","3","120","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/11","19","BASKA","DAVID","1","4","0","4","1","","","","","","","1","4","","","","","","","","","","2","76","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/22/11","19","BASKA","DAVID","","","","","","","","","","","","0","0","","","","","","","","","","3","116","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","19","BASKA","DAVID","","","","","","","","","","","","0","0","","","","","","","","","","2","79","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/11","19","BASKA","DAVID","","","","","","","","","","","","0","0","","","","","","","","","","4","162","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/12/11","19","BASKA","DAVID","","","","","","","","","","","","0","0","","","","","","","","","","4","154","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","19","BASKA","DAVID","","","","","","","","","","","","0","0","","","","","","","","","","1","44","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","29","BRIEHL","AUSTIN","0","0","0","0","1","","","","","","","0","0","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/10/11","5B","CANNADA","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","1","0","","","","","","","","0"
