"Institution ID","Institution","Uniform Number","Last Name","First Name","Position","Year","Player ID"
/usr/local/tomcat/app_data/d1mfb/2011/Internet/rosters/DIVISIONB.txt
"721","Air Force","8A","Tipton","Tucker","QB","JR","355807"
"721","Air Force","7","Jefferson","Tim","QB","SR","193702"
"721","Air Force","11","Dietz","Connor","QB","JR","281246"
"721","Air Force","38","Day","Scott","RB","JR","395992"
"721","Air Force","37","Lacoste","Anthony","RB","SO","369106"
"721","Air Force","35","Cobb","Wes","RB","JR","369107"
"721","Air Force","34","Lee","Jonathan","RB","FR","395994"
"721","Air Force","25","DeWitt","Mike","RB","JR","355800"
"721","Air Force","21","Jones","Darius","RB","JR","281250"
"721","Air Force","17","Clark","Asher","RB","SR","193691"
"721","Air Force","85","Kauth","Zack","WR","SR","281286"
"721","Air Force","82","Ariguzo","Ike","WR","SO","355785"
"721","Air Force","81","Freeman","Joshua","WR","SR","281253"
"721","Air Force","80","Hirneise","Brandon","WR","JR","281252"
"721","Air Force","28","Getz","Cody","WR","JR","281256"
"721","Air Force","27","MacArthur","Ty","WR","SO","395995"
"721","Air Force","22","Daniels","Tony","WR","SO","355788"
"721","Air Force","20","Strickland","Dontae","WR","JR","295669"
"721","Air Force","16","Coleman","Drew","WR","JR","281248"
"721","Air Force","15","Warzeka","Johnathan","WR","SR","193733"
"721","Air Force","10","Hunter","Mikel","WR","JR","281258"
"721","Air Force","87","Durden","Devin","TE","SO","395993"
"721","Air Force","84","Pickett","Daniel","TE","SR","193720"
"721","Air Force","29","Briehl","Austin","TE","JR","355787"
"721","Air Force","99","Soderberg","Erik","K","SR","232827"
"721","Air Force","19","Baska","David","K","SO","374956"
"721","Air Force","18","Herrington","Parker","K","JR","374957"
"721","Air Force","78","Lovett","Ross","OL","SO","374950"
"721","Air Force","77","Henry","Jerry","OL","SO","374949"
"721","Air Force","76","Kaufman","Evan","OL","JR","355793"
"721","Air Force","74","Huskisson","Alex","OL","SO","374948"
"721","Air Force","73","Wallerstein","A.J.","OL","SR","193732"
"721","Air Force","70","Whitt","Kevin","OL","SR","369109"
"721","Air Force","68","Kerber","Drew","OL","SO","374947"
"721","Air Force","67","Eason","Jordan","OL","JR","355790"
"721","Air Force","65","Husar, Jr.","Michael","OL","SO","374945"
"721","Air Force","63","Benson","Jeffrey","OL","SR","281277"
"721","Air Force","59","Adenji","Moshood","OL","SO","374946"
"721","Air Force","56","Reid","Colton","OL","SR","281275"
"721","Air Force","54","Hester","Michael","OL","SR","281280"
"721","Air Force","9","Means","Alex","LB","JR","281270"
"721","Air Force","53","Fleming","Ross","LB","SR","281269"
"721","Air Force","52","Kusan","Josh","LB","JR","355802"
"721","Air Force","47","Lamendola","Ken","LB","SR","374943"
"721","Air Force","46","Cooks","Jamil","LB","SO","369108"
"721","Air Force","45","Chambers","James","LB","JR","281265"
"721","Air Force","44","Hennessey","Patrick","LB","SR","374942"
"721","Air Force","42","Niklas","Austin","LB","JR","355806"
"721","Air Force","41","Amack","Brady","LB","SR","232826"
"721","Air Force","36","Proctor","Spencer","LB","FR","396000"
"721","Air Force","33","McWilliams","Harrison","LB","SR","281262"
"721","Air Force","32","Waiwaiole","Jordan","LB","SR","281261"
"721","Air Force","6","Davis","Jon","DB","SR","130171"
"721","Air Force","5","Wright","Anthony","DB","SR","193737"
"721","Air Force","4","Wooding","Anthony","DB","SO","355808"
"721","Air Force","31","Lindsay","Brian","DB","JR","281259"
"721","Air Force","30","Pierce","Roland","DB","SO","395999"
"721","Air Force","3","Miller","Chris","DB","SO","355804"
"721","Air Force","26","Jablonsky","Kevin","DB","SR","281254"
"721","Air Force","24","Adeji-Paul","P.J.","DB","SR","193680"
"721","Air Force","23","Batts","Steffon","DB","SO","355786"
"721","Air Force","2","Atrice","Stephan","DB","JR","374941"
"721","Air Force","14","Hall","Josh","DB","SR","281247"
"721","Air Force","13","Pollard","Ryan","DB","FR","395998"
"721","Air Force","12","Mayes","Jordan","DB","FR","395997"
"721","Air Force","97","Fitzgerald","Nick","DL","FR","395996"
"721","Air Force","95","Kehs","Harry","DL","SR","281289"
"721","Air Force","94","Miller","Cody","DL","JR","374955"
"721","Air Force","92","Vinson","Daniel","DL","SO","374952"
"721","Air Force","89","DeJulio","Nick","DL","JR","374951"
"721","Air Force","88","Kopacka","Ben","DL","SR","281288"
"721","Air Force","86","Gardner","Ryan","DL","SR","281287"
"721","Air Force","75","Kons","Jason","DL","JR","296908"
"721","Air Force","51","Payne","Zach","DL","SR","281283"
"721","Air Force","96","Luebbe","","","","400573"
"721","Air Force","93","Hoffman","","","","396275"
"721","Air Force","90","Champaign","","","","400447"
"721","Air Force","8B","Conant","","","","398713"
"721","Air Force","8","Watkins","","","","399914"
"721","Air Force","7B","Schweiss","","","","399913"
"721","Air Force","5B","Cannada","","","","398712"
"721","Air Force","48","Avery","","","","400210"
"721","Air Force","39","Hart","","","","399915"
"721","Air Force","19","Team","","","","66680"
"5","Akron","8","Moore","Clayton","QB","SO","387206"
"5","Akron","7","Nicely","Patrick","QB","JR","271662"
"5","Akron","16","Pohl","Kyle","QB","FR","387184"
"5","Akron","12","Watson","Curtis","QB","SO","387199"
"5","Akron","11","D'Orazio","Zach","QB","FR","387165"
"5","Akron","44","Chisholm","Jawon","RB","FR","371355"
"5","Akron","40","Bailey","Austin","RB","SO","369191"
"5","Akron","36","Grice","Cody","RB","FR","387173"
"5","Akron","28","Staten","Marvin","RB","FR","387193"
"5","Akron","20","Bostick","Karl","RB","FR","387158"
"5","Akron","2","Alexander","Broderick","RB","SO","387156"
"5","Akron","1","Rossi","Nick","RB","FR","387210"
"5","Akron","88","Dillard","Jerrod","WR","SO","271682"
"5","Akron","86","Greschl","Miles","WR","JR","387172"
"5","Akron","83","Frieson","Dee","WR","SO","271680"
"5","Akron","81","Meriwether","Anthony","WR","JR","271679"
"5","Akron","3C","Waderker","Erik","WR","FR","387200"
"5","Akron","39","Russell","Antoine","WR","SO","369190"
"5","Akron","35","Sconiers","Keith","WR","SO","371354"
"5","Akron","3","Price","A.J.","WR","JR","387185"
"5","Akron","29","Chambers","L.J.","WR","FR","387160"
"5","Akron","22","Williams","Tyler","WR","FR","387202"
"5","Akron","19","Proctor","Nolan","WR","SO","387207"
"5","Akron","15","Suel","Marquelo","WR","JR","371364"
"5","Akron","14","Potts","Dylan","WR","SO","371348"
"5","Akron","95","Root","Jon","TE","SO","271684"
"5","Akron","87","Ritossa","Anthony","TE","FR","371365"
"5","Akron","84","Ladrach","Rhyne","TE","JR","184527"
"5","Akron","82","Tenuta","Zachary","TE","JR","387195"
"5","Akron","4C","Vogel","Matt","TE","FR","387197"
"5","Akron","48","Favors","Justin","TE","SO","387166"
"5","Akron","3F","Fagnano","Jared","TE","SO","387167"
