"Institution ID","Institution","Game Date","Opponent ID","Opponent Name","Score For","Score Against","Location"
"5","Akron","09/03/11","518","Ohio St.","0","42","Away"
"5","Akron","09/10/11","690","Temple","3","41","Home"
"5","Akron","09/17/11","140","Cincinnati","14","59","Away"
"5","Akron","09/24/11","741","VMI","36","13","Home"
"5","Akron","10/01/11","204","Eastern Mich.","23","31","Away"
"5","Akron","10/08/11","231","FIU","17","27","Home"
"5","Akron","10/22/11","519","Ohio","20","37","Home"
"5","Akron","10/29/11","129","Central Mich.","22","23","Home"
"5","Akron","11/03/11","414","Miami (OH)","3","35","Away"
"5","Akron","11/12/11","331","Kent St.","3","35","Home"
"5","Akron","11/19/11","86","Buffalo","10","51","Away"
"5","Akron","11/25/11","774","Western Mich.","19","68","Away"
"8","Alabama","09/03/11","331","Kent St.","48","7","Home"
"8","Alabama","09/10/11","539","Penn St.","27","11","Away"
"8","Alabama","09/17/11","497","North Texas","41","0","Home"
"8","Alabama","09/24/11","31","Arkansas","38","14","Home"
"8","Alabama","10/01/11","235","Florida","38","10","Away"
"8","Alabama","10/08/11","736","Vanderbilt","34","0","Home"
"8","Alabama","10/15/11","433","Ole Miss","52","7","Away"
"8","Alabama","10/22/11","694","Tennessee","37","6","Home"
"8","Alabama","11/05/11","365","LSU","6","9","Home"
"8","Alabama","11/12/11","430","Mississippi St.","24","7","Away"
"8","Alabama","11/19/11","253","Ga. Southern","45","21","Home"
"8","Alabama","11/26/11","37","Auburn","42","14","Away"
"9","UAB","09/10/11","235","Florida","0","39","Away"
"9","UAB","09/17/11","718","Tulane","10","49","Home"
"9","UAB","09/24/11","196","East Carolina","23","28","Away"
"9","UAB","10/01/11","716","Troy","23","24","Away"
"9","UAB","10/08/11","430","Mississippi St.","3","21","Home"
"9","UAB","10/15/11","719","Tulsa","20","37","Away"
"9","UAB","10/20/11","128","UCF","26","24","Home"
"9","UAB","10/29/11","388","Marshall","14","59","Away"
"9","UAB","11/05/11","288","Houston","13","56","Home"
"9","UAB","11/12/11","404","Memphis","41","35","Away"
"9","UAB","11/17/11","664","Southern Miss.","34","31","Home"
"9","UAB","11/26/11","229","Fla. Atlantic","35","38","Away"
"28","Arizona St.","09/01/11","108","UC Davis","48","14","Home"
"28","Arizona St.","09/09/11","434","Missouri","37","30","Home"
"28","Arizona St.","09/17/11","301","Illinois","14","17","Away"
"28","Arizona St.","09/24/11","657","Southern California","43","22","Home"
"28","Arizona St.","10/01/11","528","Oregon St.","35","20","Home"
"28","Arizona St.","10/08/11","732","Utah","35","14","Away"
"28","Arizona St.","10/15/11","529","Oregon","27","41","Away"
"28","Arizona St.","10/29/11","157","Colorado","48","14","Home"
"28","Arizona St.","11/05/11","110","UCLA","28","29","Away"
"28","Arizona St.","11/12/11","754","Washington St.","27","37","Away"
"28","Arizona St.","11/19/11","29","Arizona","27","31","Home"
"28","Arizona St.","11/25/11","107","California","38","47","Home"
"29","Arizona","09/03/11","501","Northern Ariz.","41","10","Home"
"29","Arizona","09/08/11","521","Oklahoma St.","14","37","Away"
"29","Arizona","09/17/11","674","Stanford","10","37","Home"
"29","Arizona","09/24/11","529","Oregon","31","56","Home"
"29","Arizona","10/01/11","657","Southern California","41","48","Away"
"29","Arizona","10/08/11","528","Oregon St.","27","37","Away"
"29","Arizona","10/20/11","110","UCLA","48","12","Home"
"29","Arizona","10/29/11","756","Washington","31","42","Away"
"29","Arizona","11/05/11","732","Utah","21","34","Home"
"29","Arizona","11/12/11","157","Colorado","29","48","Away"
"29","Arizona","11/19/11","28","Arizona St.","31","27","Away"
"29","Arizona","11/26/11","671","La.-Lafayette","45","37","Home"
"30","Arkansas St.","09/03/11","301","Illinois","15","33","Away"
"30","Arkansas St.","09/10/11","404","Memphis","47","3","Home"
"30","Arkansas St.","09/17/11","742","Virginia Tech","7","26","Away"
"30","Arkansas St.","09/24/11","1004","Central Ark.","53","24","Home"
"30","Arkansas St.","10/01/11","772","Western Ky.","26","22","Away"
"30","Arkansas St.","10/08/11","498","La.-Monroe","24","19","Away"
"30","Arkansas St.","10/18/11","231","FIU","34","16","Home"
"30","Arkansas St.","10/29/11","497","North Texas","37","14","Home"
"30","Arkansas St.","11/05/11","229","Fla. Atlantic","39","21","Away"
"30","Arkansas St.","11/12/11","671","La.-Lafayette","30","21","Home"
"30","Arkansas St.","11/19/11","419","Middle Tenn.","45","19","Away"
"30","Arkansas St.","12/03/11","716","Troy","","","Home"
"31","Arkansas","09/03/11","669","Missouri St.","51","7","Home"
"31","Arkansas","09/10/11","473","New Mexico","52","3","Home"
"31","Arkansas","09/17/11","716","Troy","38","28","Home"
"31","Arkansas","09/24/11","8","Alabama","14","38","Away"
"31","Arkansas","10/01/11","697","Texas A&M","42","38","Neutral Site"
"31","Arkansas","10/08/11","37","Auburn","38","14","Home"
"31","Arkansas","10/22/11","433","Ole Miss","29","24","Away"
"31","Arkansas","10/29/11","736","Vanderbilt","31","28","Away"
"31","Arkansas","11/05/11","648","South Carolina","44","28","Home"
"31","Arkansas","11/12/11","694","Tennessee","49","7","Home"
"31","Arkansas","11/19/11","430","Mississippi St.","44","17","Home"
"31","Arkansas","11/25/11","365","LSU","17","41","Away"
"37","Auburn","09/03/11","731","Utah St.","42","38","Home"
"37","Auburn","09/10/11","430","Mississippi St.","41","34","Home"
"37","Auburn","09/17/11","147","Clemson","24","38","Away"
"37","Auburn","09/24/11","229","Fla. Atlantic","30","14","Home"
"37","Auburn","10/01/11","648","South Carolina","16","13","Away"
"37","Auburn","10/08/11","31","Arkansas","14","38","Away"
"37","Auburn","10/15/11","235","Florida","17","6","Home"
"37","Auburn","10/22/11","365","LSU","10","45","Away"
"37","Auburn","10/29/11","433","Ole Miss","41","23","Home"
"37","Auburn","11/12/11","257","Georgia","7","45","Away"
"37","Auburn","11/19/11","625","Samford","35","16","Home"
"37","Auburn","11/26/11","8","Alabama","14","42","Home"
"47","Ball St.","09/03/11","306","Indiana","27","20","Home"
"47","Ball St.","09/10/11","651","South Fla.","7","37","Away"
"47","Ball St.","09/17/11","86","Buffalo","28","25","Home"
"47","Ball St.","09/24/11","725","Army","48","21","Home"
"47","Ball St.","10/01/11","522","Oklahoma","6","62","Away"
"47","Ball St.","10/08/11","690","Temple","0","42","Home"
"47","Ball St.","10/15/11","519","Ohio","23","20","Away"
"47","Ball St.","10/22/11","129","Central Mich.","31","27","Home"
"47","Ball St.","10/29/11","774","Western Mich.","35","45","Away"
"47","Ball St.","11/05/11","204","Eastern Mich.","33","31","Away"
"47","Ball St.","11/15/11","503","Northern Ill.","38","41","Away"
"47","Ball St.","11/25/11","709","Toledo","28","45","Home"
"51","Baylor","09/02/11","698","TCU","50","48","Home"
"51","Baylor","09/17/11","676","Stephen F. Austin","48","0","Home"
"51","Baylor","09/24/11","574","Rice","56","31","Home"
"51","Baylor","10/01/11","327","Kansas St.","35","36","Away"
"51","Baylor","10/08/11","311","Iowa St.","49","26","Home"
"51","Baylor","10/15/11","697","Texas A&M","28","55","Away"
"51","Baylor","10/29/11","521","Oklahoma St.","24","59","Away"
"51","Baylor","11/05/11","434","Missouri","42","39","Home"
"51","Baylor","11/12/11","328","Kansas","31","30","Away"
"51","Baylor","11/19/11","522","Oklahoma","45","38","Home"
"51","Baylor","11/26/11","700","Texas Tech","66","42","Neutral Site"
"51","Baylor","12/03/11","703","Texas","","","Home"
"66","Boise St.","09/03/11","257","Georgia","35","21","Neutral Site"
"66","Boise St.","09/16/11","709","Toledo","40","15","Away"
"66","Boise St.","09/24/11","719","Tulsa","41","21","Home"
"66","Boise St.","10/01/11","466","Nevada","30","10","Home"
"66","Boise St.","10/07/11","96","Fresno St.","57","7","Away"
